n,C,y,A_size,uncovered,time_sec
1000000,1.2,23,11654,484,0.338
1000000,1.3,30,14697,117,0.226
1000000,1.4,39,21535,7,0.304
1000000,1.5,51,32876,0,0.394
1000000,1.6,66,44627,0,0.501
1000000,1.8,112,87548,0,0.867
1000000,2.0,190,131397,0,1.448
2000000,1.2,24,15400,1392,0.38
2000000,1.3,32,24568,101,0.513
2000000,1.4,42,34911,12,0.664
2000000,1.5,55,52477,0,1.032
2000000,1.6,72,76969,0,1.532
2000000,1.8,123,139688,0,2.755
2000000,2.0,210,228148,0,5.894
5000000,1.2,26,21950,6964,1.505
5000000,1.3,35,36327,386,2.225
5000000,1.4,46,62632,8,3.715
5000000,1.5,60,93054,0,6.2
5000000,1.6,79,148760,0,12.253
5000000,1.8,137,275570,0,23.249
5000000,2.0,237,465098,0,37.637
