n,C,y,A_size,uncovered,time_sec
1000000,1.2,23,11654,484,0.347
1000000,1.3,30,14697,117,0.222
1000000,1.4,39,21535,7,0.297
1000000,1.5,51,32876,0,0.39
1000000,1.6,66,44627,0,0.506
1000000,1.8,112,87548,0,0.918
1000000,2.0,190,131397,0,1.484
2000000,1.2,24,15400,1392,0.349
2000000,1.3,32,24568,101,0.503
2000000,1.4,42,34911,12,0.65
2000000,1.5,55,52477,0,0.919
2000000,1.6,72,76969,0,1.288
2000000,1.8,123,139688,0,2.232
2000000,2.0,210,228148,0,4.844
5000000,1.2,26,21950,6964,0.913
5000000,1.3,35,36327,386,1.364
5000000,1.4,46,62632,8,2.352
5000000,1.5,60,93054,0,3.485
5000000,1.6,79,148760,0,5.685
5000000,1.8,137,275570,0,11.0
5000000,2.0,237,465098,0,21.354
